1 Leader Name,1 Title,1 Role,2 Leader Name,2 Title,2 Role,3 Leader Name,3 Title,3 Role,Founding Year,Year Pastor Joined,Pastor Bio,Statement of Faith,Mission statement,Welcome Message,Church Name,Denomination,Affiliations,Similar To,Street 2,Street 1,Street 2,City,State,Zip,Church Phone Number,Church Email contact,Website,Parking,Blog,Facebook,Twitter,Google Plus,Instagram,YouTube,Podcast,Other social media,Service Details,other language services,Languages,Size,Programs & Ministries - Nursery Care,Programs & Ministries - Education,Programs & Ministries - Age Groups,Programs & Ministries - Gender Groups,Programs & Ministries - Music and Arts,Programs & Ministries - Social,Programs & Ministries - Spiritual,Programs & Ministries - Support and Counseling,Programs & Ministries - Outreach,Special Needs Accommodations,"If ""other"", please explain below.",Gay Affirming,"If Other, add below",Home Church,"If Other, add below",1 ServiceDay,1 StartTime,1 StartTimeRange,1 Language,1 MusicStyle,1 ServiceStyle,1 DressAttire,1 AgeDemographic,1 InstrumentTypes,1 Duration,2 ServiceDay,2 StartTime,2 StartTimeRange,2 Language,2 MusicStyle,2 ServiceStyle,2 DressAttire,2 AgeDemographic,2 InstrumentTypes,2 Duration,3 ServiceDay,3 StartTime,3 StartTimeRange,3 Language,3 MusicStyle,3 ServiceStyle,3 DressAttire,3 AgeDemographic,3 InstrumentTypes,3 Duration,4 StartTime,4 StartTimeRange,4 Language,4 MusicStyle,4 ServiceStyle,4 DressAttire,4 AgeDemographic,4 InstrumentTypes,4 Duration,5 ServiceDay,5 StartTime,5 StartTimeRange,5 Language,5 MusicStyle,5 ServiceStyle,5 DressAttire,5 AgeDemographic,5 InstrumentTypes,5 Duration,1 Atmosphere,2 Atmosphere,3 Atmosphere,4 Atmosphere,5 Atmosphere
Ed Faalam,Pastor,Pastor,Hamlin Susas,Pastor,,Jerry Oliveros,Pastor,,,,,,"We are a fellowship of believers who seek to live out the love of the Lord Jesus Christ. This calls us to love the Lord our God with all our being, to love one another and to reach out to the world with God’s love.We are ministering in the Bay Area, working with the California Southern Baptist Convention. Currently we are reaching out to the Filipino community in the Bay Area. ",,Agape Christian Fellowship,Baptist,Southern Baptist Convention,,,43216 Christy St,,Fremont,CA,94538,(510) 371-1057,edfaalam91@yahoo.com,,,,https://www.facebook.com/pages/Agape-Christian-Fellowship/146084857759,,,,,,,"Sunday Class 10amWorship 11amFellowship 12:30pm",,,,,,,,,,,,,,,,,,,SUNDAY,11:00:00,MID_MORNING,,,,,,,1:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUNDAY|0.458333333333333|MID_MORNING|||||||0.0625|,||||||||||,||||||||||,|||||||||,||||||||||
,Pastor,Pastor,,,,,,,,,,,,,The Neighborhood Church,,,,,20600 John Dr,,Castro Valley,CA,94546,(510) 537-4690,,3crosses.org,,,,,,,,,,8:30 & 11,,english,,,,,,,,,,,,,,,,,,,,,8,7,7,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,||||8|7|7|5|||,||||||||||,||||||||||,|||||||||,||||||||||
,Pastor,Pastor,,,,,,,,,,,,,Agape Bible Church,,,,,290 S Lenore Ave,,Willits,CA,95490,(707) 459-1905,,agapebiblechurch.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,||||||||||,||||||||||,||||||||||,|||||||||,||||||||||
,Pastor,Pastor,,,,,,,,,,,,,Almaden Neighborhood Church,,,,,19550 McKean Rd,,San Jose,CA,95120,(408) 268-5200,,almadenchurch.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,8,10,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,||||9|8|10|2|||,||||||||||,||||||||||,|||||||||,||||||||||
,Pastor,Pastor,,,,,,,,,,,,,Bay Area Chinese Bible Church,,,,,1801 North Loop Road,,Alameda,CA,94502,(510) 351-4936,,bacbc.org,,,,,,,,,,,,"English, Cantonese, and Mandarin.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,||||||||||,||||||||||,||||||||||,|||||||||,||||||||||
,Pastor,Pastor,,,,,,,,,,,,,Berkeley Chinese Community Church,,,,,1951 Sacramento Street,,Berkeley,CA,94702,(510) 848-8722,,bcbc-berkeley.org,,,,,,,,,,for chinese service,,"Chinese, english",,,,,,,,,,,,,,,,,,,,,2,4,5,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,||||2|4|5|7|||,||||||||||,||||||||||,|||||||||,||||||||||
,Pastor,Pastor,,,,,,,,,,,,,B.C.B.C. ,,,,,1951 Sacramento Street,,Berkeley,CA,94702,(510) 848-8722,,bcbc-berkeley.org,,,,,,,,,,9:30am service english service,,"Chinese, english",,,,,,,,,,,,,,,,,,,,,7,8,5,all ages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,||||7|8|5|all ages|||,||||||||||,||||||||||,|||||||||,||||||||||
,Pastor,Pastor,,,,,,,,,,,,,Bethel Christian Church,,,,,1325 Valencia St,,San Francisco,CA,94110,(415) 285-1433,,bethelsf.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,8,all ages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,||||7|7|8|all ages|||,||||||||||,||||||||||,|||||||||,||||||||||
,Pastor,Pastor,,,,,,,,,,,,,Bible Way Christian Center,,,,,2090 Oakland Rd,,San Jose,CA,95131,(408) 571-2222,,biblewaycc.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,8,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,||||8|8|6|5|||,||||||||||,||||||||||,|||||||||,||||||||||
,Pastor,Pastor,,,,,,,,,,,,,Calvary Baptist Church of Lafayette,Southern Baptist,,,,3201 Stanley Blvd,,Lafayette,CA,94549,(925) 935-7507,cblafayette@gmail.com,cblafayette.org,,,https://www.facebook.com/pages/Calvary-Baptist-Church-of-Lafayette/134973945735,,,,,,,,,,,,,CHILDRENS_GROUP,,,,,,,,,,,,,SUNDAY,11:00:00,LATE_MORNING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUNDAY|0.458333333333333|LATE_MORNING||||||||,||||||||||,||||||||||,|||||||||,||||||||||
